GroupName,ChartName,point_time,point_val,Batch_ID,FabPhase,Production Line
apple,x,2023/5/10 11:05,1.110025814,1BGCX,T14P5,7
apple,x,2023/5/10 11:05,0.905000429,1BFYW,T14P6,7
apple,x,2023/5/10 11:06,1.116129256,1BGEZ,T14P6,11
apple,x,2023/5/10 11:06,0.992808818,1BGAI,T12P4,5
apple,x,2023/5/10 11:06,0.837037286,1BGKB,T12P4,8
apple,x,2023/5/10 11:06,1.030781979,1BFYW,T12P4,8
apple,x,2023/5/10 11:07,0.875654157,1BGKJ,T12P4,6
apple,x,2023/5/10 11:06,0.966686186,1BGJZ,T12P4,6
apple,x,2023/5/10 11:07,1.013688801,1BGAJ,T12P4,11
apple,x,2023/5/10 11:08,0.988745832,1BGAI,T12P4,5
apple,x,2023/5/10 11:08,1.1394672,1BGGR,T12P4,6
apple,x,2023/5/10 11:08,1.023119207,1BFSZ,T12P4,6
apple,x,2023/5/10 11:08,0.821116158,1BFSZ,T12P4,9
apple,x,2023/5/10 11:08,0.967857117,1BGKA,T12P4,5
apple,x,2023/5/10 11:09,0.903664055,1BGDX,T12P4,11
apple,x,2023/5/10 11:09,0.832628017,1BGMA,T12P4,7
apple,x,2023/5/10 11:09,0.890739837,1BHEQ,T12P4,4
apple,x,2023/5/10 11:09,0.932126195,1BGCX,T12P4,9
apple,x,2023/5/10 11:09,0.850837039,1BGCX,T12P4,7
apple,x,2023/5/10 11:09,0.887411176,1BFWN,T12P4,11
apple,x,2023/5/10 11:10,0.929196931,1BHHF,T12P4,5
apple,x,2023/5/10 11:10,0.780773189,1BHFH,T12P4,10
apple,x,2023/5/10 11:10,1.009962555,1BGKA,T12P4,4
apple,x,2023/5/10 11:11,1.048605346,1BGKI,T12P4,5
apple,x,2023/5/10 11:11,1.236677721,1BGKI,T12P4,6
apple,x,2023/5/10 11:11,1.100299906,1BHGT,T12P4,6
apple,x,2023/5/10 11:11,0.991095518,1BGBZ,T12P4,6
apple,x,2023/5/10 11:11,0.881143847,1BHGT,T12P4,6
apple,x,2023/5/10 11:12,1.106996455,1BHII,T12P4,6
apple,x,2023/5/10 11:12,0.91410106,1BGDX,T12P4,6
apple,x,2023/5/10 11:12,1.008592708,1BGLZ,T12P4,6
apple,x,2023/5/10 11:12,0.951527089,1BGBZ,T12P4,6
apple,x,2023/5/10 11:13,1.072546737,1BGAI,T12P4,6
apple,x,2023/5/10 11:12,1.009357523,1BHEQ,T12P4,6
apple,x,2023/5/10 11:13,1.059170941,1BHDQ,T12P4,6
