point_time,value,FabPhase,Production Line
2024-03-31 21:34:29.389703,14.098444982228058,T12P4,8
2024-04-01 21:34:29.389703,14.670919620363174,T14P5,11
2024-04-02 21:34:29.389703,14.945104927143593,T14P5,5
2024-04-03 21:34:29.389703,14.968452255082582,T14P5,5
2024-04-04 21:34:29.389703,14.409030359037423,T14P6,11
2024-04-05 21:34:29.389703,14.831004837973516,T14P5,5
2024-04-06 21:34:29.389703,14.167777473094374,T14P6,5
2024-04-07 21:34:29.389703,14.863373834908018,T12P4,11
2024-04-08 21:34:29.389703,14.013906621863256,T14P6,7
2024-04-09 21:34:29.389703,14.508405189887926,T14P6,7
2024-04-10 21:34:29.389703,14.358092055398997,T12P4,5
2024-04-11 21:34:29.389703,14.290270618221474,T12P4,7
2024-04-12 21:34:29.389703,14.0368760242795,T14P5,7
2024-04-13 21:34:29.389703,14.119394556796372,T14P5,8
2024-04-14 21:34:29.389703,14.743782847178439,T12P4,11
2024-04-15 21:34:29.389703,14.91775219024844,T12P4,7
2024-04-16 21:34:29.389703,14.081169253752966,T14P5,7
2024-04-17 21:34:29.389703,14.900342104872173,T12P4,11
2024-04-18 21:34:29.389703,14.952510381946658,T14P6,11
2024-04-19 21:34:29.389703,14.646429657555561,T14P5,7
2024-04-20 21:34:29.389703,14.104254259400705,T12P4,7
2024-04-21 21:34:29.389703,14.96358997332559,T12P4,7
2024-04-22 21:34:29.389703,14.788527342668843,T14P6,5
2024-04-23 21:34:29.389703,14.739140721446631,T14P5,8
2024-04-24 21:34:29.389703,14.587615964643451,T14P5,8
2024-04-25 21:34:29.389703,14.338489261890476,T14P5,5
2024-04-26 21:34:29.389703,14.732774345968238,T14P6,7
2024-04-27 21:34:29.389703,14.789062798723798,T12P4,5
2024-04-28 21:34:29.389703,14.1184828005143,T14P5,7
2024-04-29 21:34:29.389703,14.84210210338979,T14P6,5
2024-04-30 21:34:29.389703,14.725248335453864,T12P4,11
2024-05-01 21:34:29.389703,14.433888467636177,T14P6,11
2024-05-02 21:34:29.389703,14.96419536589591,T12P4,8
2024-05-03 21:34:29.389703,14.16543715415638,T14P5,5
2024-05-04 21:34:29.389703,14.681059101151243,T12P4,5
2024-05-05 21:34:29.389703,14.464545433427691,T14P5,11
2024-05-06 21:34:29.389703,14.901290048177403,T14P5,8
2024-05-07 21:34:29.389703,14.239594710503898,T12P4,5
2024-05-08 21:34:29.389703,14.906165446500651,T14P6,5
2024-05-09 21:34:29.389703,14.299937905668012,T12P4,8
2024-05-10 21:34:29.389703,14.859566563521804,T12P4,11
2024-05-11 21:34:29.389703,14.390786138515576,T14P5,7
